InputID,TargetID,Distance
BRONX CHARTER SCHOOL FOR BETTER LEARNING,EDENWALD LIBRARY,1260.30937889
BRONX CHARTER SCHOOL FOR ARTS,HUNTS POINT LIBRARY,2333.4952521
CORNERSTONE ACADEMY FOR SOCIAL ACTION,EDENWALD LIBRARY,3718.85049599
BRONX ACADEMY OF PROMISE CHARTER SCHOOL,HIGH BRIDGE LIBRARY,1300.4737018
CRESTON ACADEMY,FRANCIS MARTIN LIBRARY,1923.62607891
SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,SOUNDVIEW LIBRARY,2010.21831493
SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,MELROSE LIBRARY,768.736177972
EAST FORDHAM ACADEMY FOR THE ARTS,BRONX LIBRARY CENTER,1970.61179296
CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOO,EDENWALD LIBRARY,3718.85049599
MOTT HALL COMMUNITY SCHOOL,THROG'S NECK LIBRARY,1349.59949026
PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGEME,ALLERTON LIBRARY,1776.03772817
ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,BRONX LIBRARY CENTER,2087.00308371
VAN NEST ACADEMY,MORRIS PARK LIBRARY,1141.59322309
KIPP ACADEMY CHARTER SCHOOL,MELROSE LIBRARY,1700.7490954
PS/MS  194,WESTCHESTER SQUARE LIBRARY,2188.94751725
JONAS BRONCK ACADEMY,BRONX LIBRARY CENTER,1094.05614181
J.H.S. 080 THE MOSHOLU PARKWAY,MOSHOLU LIBRARY,1113.66559732
P.S. 056 NORWOOD HEIGHTS,MOSHOLU LIBRARY,954.23529465
CARL C. ICAHN SOUTH BRONX CHARTER SCHOOL,SEDGWICK LIBRARY,1045.52030326
PERFORMANCE SCHOOL,MELROSE LIBRARY,1931.68826528
URBAN ASSEMBLY SCHOOL FOR WILDLIFE CONSERVATION,WEST FARMS LIBRARY,453.084135443
CARL C. ICAHN BRONX NORTH CHARTER SCHOOL,MORRIS PARK LIBRARY,1256.39079898
EMOLIOR ACADEMY,WEST FARMS LIBRARY,2075.92917201
MOTT HALL V,CLASON'S POINT LIBRARY,1152.7571979
